OMOP Field,Descripción,Tabla OMOP sugerida,Tipo de dato,Rango esperado / Observaciones
PT_NAME,Nombre del paciente,PERSON,string,Nombre completo del paciente
PT_DOB,Fecha de nacimiento del paciente,PERSON,date,Fecha válida; típicamente > 1900 y < fecha actual
PT_GENDER,Género del paciente,PERSON,string / concept_id,M/F/Other o mapeado a concept_id estándar
CLINIC_NAME,Nombre de la clínica,VISIT_OCCURRENCE,string,Nombre del centro médico
MANUFACTURER_PRIORITY,Prioridad del fabricante,DEVICE_EXPOSURE,string / ordinal,Interno; sin rango definido
MDC_IDC_DEV_IMPLANT_DT,Fecha de implantación,DEVICE_EXPOSURE,date,Fecha válida
MDC_IDC_MSMT_BATTERY_REMAINING_PERCENTAGE,Batería restante (%),MEASUREMENT,numeric,0–100%
MDC_IDC_SET_BRADY_LOWRATE,Frecuencia mínima,OBSERVATION,integer,30–70 bpm
MDC_IDC_MSMT_LEADCHNL_RA_IMPEDANCE_VALUE,Impedancia RA,MEASUREMENT,numeric,200–2000 Ohms
MDC_IDC_STAT_TACHYTHERAPY_SHOCKS_DELIVERED_TOTAL,Total choques entregados,OBSERVATION,integer,≥ 0
MDC_IDC_SET_LEADCHNL_RA_SENSING_SENSITIVITY,Sensibilidad sensado RA,OBSERVATION,numeric,0.5–5.0 mV
MDC_IDC_SET_LEADCHNL_RV_SENSING_SENSITIVITY,Sensibilidad sensado RV,OBSERVATION,numeric,0.5–5.0 mV
MDC_IDC_SET_LEADCHNL_LV_SENSING_SENSITIVITY,Sensibilidad sensado LV,OBSERVATION,numeric,0.5–5.0 mV
MDC_IDC_SET_LEADCHNL_RA_SENSING_POLARITY,Polaridad sensado RA,OBSERVATION,string,Unipolar/Bipolar
MDC_IDC_SET_LEADCHNL_RV_SENSING_POLARITY,Polaridad sensado RV,OBSERVATION,string,Unipolar/Bipolar
MDC_IDC_SET_LEADCHNL_LV_SENSING_POLARITY,Polaridad sensado LV,OBSERVATION,string,Unipolar/Bipolar
MDC_IDC_SET_LEADCHNL_RA_PACING_AMPLITUDE,Amplitud estimulación RA,OBSERVATION,numeric,0.5–7.5 V
MDC_IDC_SET_LEADCHNL_RV_PACING_AMPLITUDE,Amplitud estimulación RV,OBSERVATION,numeric,0.5–7.5 V
MDC_IDC_SET_LEADCHNL_LV_PACING_AMPLITUDE,Amplitud estimulación LV,OBSERVATION,numeric,0.5–7.5 V
MDC_IDC_SET_LEADCHNL_RA_PACING_POLARITY,Polaridad estimulación RA,OBSERVATION,string,Unipolar/Bipolar
MDC_IDC_SET_LEADCHNL_RV_PACING_POLARITY,Polaridad estimulación RV,OBSERVATION,string,Unipolar/Bipolar
MDC_IDC_SET_LEADCHNL_LV_PACING_POLARITY,Polaridad estimulación LV,OBSERVATION,string,Unipolar/Bipolar
MDC_IDC_SET_LEADCHNL_RA_PACING_PULSEWIDTH,Duración impulso RA,OBSERVATION,numeric,0.1–1.0 ms
MDC_IDC_SET_LEADCHNL_RV_PACING_PULSEWIDTH,Duración impulso RV,OBSERVATION,numeric,0.1–1.0 ms
MDC_IDC_SET_LEADCHNL_LV_PACING_PULSEWIDTH,Duración impulso LV,OBSERVATION,numeric,0.1–1.0 ms
MDC_IDC_MSMT_LEADCHNL_RA_LEAD_CHANNEL_STATUS,Estado canal RA,OBSERVATION,string,"OK, fallo, alerta"
MDC_IDC_MSMT_LEADCHNL_RV_LEAD_CHANNEL_STATUS,Estado canal RV,OBSERVATION,string,"OK, fallo, alerta"
MDC_IDC_MSMT_LEADCHNL_LV_LEAD_CHANNEL_STATUS,Estado canal LV,OBSERVATION,string,"OK, fallo, alerta"
MDC_IDC_MSMT_LEADCHNL_RA_SENSING_INTR_AMPL,Amplitud intracardíaca RA,MEASUREMENT,numeric,0.1–10.0 mV
MDC_IDC_MSMT_LEADCHNL_RV_SENSING_INTR_AMPL,Amplitud intracardíaca RV,MEASUREMENT,numeric,0.1–20.0 mV
MDC_IDC_MSMT_LEADCHNL_LV_SENSING_INTR_AMPL,Amplitud intracardíaca LV,MEASUREMENT,numeric,0.1–10.0 mV
MDC_IDC_MSMT_LEADCHNL_RA_PACING_THRESHOLD_AMPLITUDE,Umbral amplitud RA,MEASUREMENT,numeric,0.25–5.0 V
MDC_IDC_MSMT_LEADCHNL_RV_PACING_THRESHOLD_AMPLITUDE,Umbral amplitud RV,MEASUREMENT,numeric,0.25–5.0 V
MDC_IDC_MSMT_LEADCHNL_LV_PACING_THRESHOLD_AMPLITUDE,Umbral amplitud LV,MEASUREMENT,numeric,0.25–5.0 V
MDC_IDC_MSMT_LEADCHNL_RA_PACING_THRESHOLD_PULSEWIDTH,Umbral duración RA,MEASUREMENT,numeric,0.1–1.0 ms
MDC_IDC_MSMT_LEADCHNL_RV_PACING_THRESHOLD_PULSEWIDTH,Umbral duración RV,MEASUREMENT,numeric,0.1–1.0 ms
MDC_IDC_MSMT_LEADCHNL_LV_PACING_THRESHOLD_PULSEWIDTH,Umbral duración LV,MEASUREMENT,numeric,0.1–1.0 ms
MDC_IDC_STAT_BRADY_RA_PERCENT_PACED,% estimulación RA,OBSERVATION,numeric,0–100%
MDC_IDC_STAT_BRADY_RV_PERCENT_PACED,% estimulación RV,OBSERVATION,numeric,0–100%
MDC_IDC_STAT_CRT_LV_PERCENT_PACED,% estimulación CRT-LV,OBSERVATION,numeric,0–100%
MDC_IDC_STAT_CRT_PERCENT_PACED,% estimulación CRT global,OBSERVATION,numeric,0–100%
MDC_IDC_STAT_BRADY_AS_VS_PERCENT,% AS/VS,OBSERVATION,numeric,0–100%
MDC_IDC_STAT_BRADY_AP_VS_PERCENT,% AP/VS,OBSERVATION,numeric,0–100%
MDC_IDC_STAT_BRADY_AS_VP_PERCENT,% AS/VP,OBSERVATION,numeric,0–100%
MDC_IDC_STAT_BRADY_AP_VP_PERCENT,% AP/VP,OBSERVATION,numeric,0–100%
MDC_IDC_SET_ZONE_TYPE,Tipo de zona de detección,OBSERVATION,string,"VT, VF, etc."
MDC_IDC_SET_ZONE_DETECTION_INTERVAL,Intervalo de detección,OBSERVATION,integer,≥ 0
MDC_IDC_STAT_TACHYTHERAPY_RECENT_DTM_START,Inicio terapia reciente,OBSERVATION,datetime,Fecha válida
MDC_IDC_STAT_TACHYTHERAPY_RECENT_DTM_END,Fin terapia reciente,OBSERVATION,datetime,Fecha válida
MDC_IDC_STAT_TACHYTHERAPY_TOTAL_DTM_START,Inicio terapia total,OBSERVATION,datetime,Fecha válida
MDC_IDC_STAT_TACHYTHERAPY_TOTAL_DTM_END,Fin terapia total,OBSERVATION,datetime,Fecha válida
MDC_IDC_STAT_TACHYTHERAPY_SHOCKS_ABORTED_RECENT,Choques recientes abortados,OBSERVATION,integer,≥ 0
MDC_IDC_STAT_TACHYTHERAPY_ATP_DELIVERED_RECENT,ATP recientes,OBSERVATION,integer,≥ 0
MDC_IDC_STAT_TACHYTHERAPY_SHOCKS_DELIVERED_TOTAL,Choques totales,OBSERVATION,integer,≥ 0
MDC_IDC_STAT_TACHYTHERAPY_SHOCKS_ABORTED_TOTAL,Choques abortados totales,OBSERVATION,integer,≥ 0
MDC_IDC_STAT_TACHYTHERAPY_ATP_DELIVERED_TOTAL,ATP totales,OBSERVATION,integer,≥ 0
MDC_IDC_STAT_AT_DTM_START,Inicio AT,OBSERVATION,datetime,Fecha válida
