OMOP Field,Descripción_gpt,Tabla OMOP sugerida,Tipo de dato_gpt,Rango esperado / Observaciones,Significado,Tipo de dato_claude,Unidad,Descripción_claude,Observaciones
CLINIC_NAME,Nombre de la clínica,VISIT_OCCURRENCE,string,Nombre del centro médico,Nombre de la clínica,Varchar,,Centro médico donde se realiza seguimiento,Ubicación de la consulta o seguimiento
MANUFACTURER_PRIORITY,Prioridad del fabricante,DEVICE_EXPOSURE,string / ordinal,Interno; sin rango definido,Prioridad del fabricante,Varchar/Integer,,Nivel de prioridad según fabricante,Puede indicar urgencia de revisión
MDC_IDC_DEV_IMPLANT_DT,Fecha de implantación,DEVICE_EXPOSURE,date,Fecha válida,Fecha de implante,Date,,Fecha en que se implantó el dispositivo,Importante para calcular longevidad
MDC_IDC_DEV_MFG,,,,,Fabricante del dispositivo,Varchar,,Empresa fabricante del dispositivo,"Ej: ""Medtronic"", ""Boston Scientific"", ""Abbott"""
MDC_IDC_DEV_MODEL,,,,,Modelo del dispositivo,Varchar,,Modelo específico del dispositivo,Código o nombre del modelo comercial
MDC_IDC_DEV_SERIAL,,,,,Número de serie,Varchar,,Número único de identificación del dispositivo,Identificador único del fabricante
MDC_IDC_DEV_TYPE,,,,,Tipo de dispositivo,Varchar,,Categoría del dispositivo implantado,"Ej: ""ICD"", ""CRT-D"", ""Pacemaker"", ""CRT-P"""
MDC_IDC_MSMT_BATTERY_DTM,,,,,Fecha y hora de medición de batería,Datetime,,Momento de la medición del estado de batería,Timestamp de la evaluación de batería
MDC_IDC_MSMT_BATTERY_REMAINING_LONGEVITY,,,,,Longevidad restante de batería,Numeric,Años/Meses,Tiempo estimado de vida útil restante,Predicción de duración restante
MDC_IDC_MSMT_BATTERY_REMAINING_PERCENTAGE,Batería restante (%),MEASUREMENT,numeric,0–100%,Porcentaje restante de batería,Numeric,%,Porcentaje de batería disponible,0-100%
MDC_IDC_MSMT_BATTERY_RRT_TRIGGER,,,,,Activación de reemplazo recomendado,Boolean,,Indica si se recomienda reemplazo,"0=No, 1=Sí"
MDC_IDC_MSMT_BATTERY_STATUS,,,,,Estado de la batería,Varchar,,Estado actual de la batería,"Ej: ""Normal"", ""ERI"" (Elective Replacement Indicator), ""EOL"" (End of Life)"
MDC_IDC_MSMT_BATTERY_VOLTAGE,,,,,Voltaje de batería,Numeric,Voltios,Voltaje actual de la batería,Medición directa del voltaje
